,Description
eyelid redness,"Blepharitis (blef-uh-RYE-tis) is inflammation of the eyelids. Blepharitis usually affects both eyes along the edges of the eyelids. Blepharitis commonly occurs when tiny oil glands near the base of the eyelashes become clogged, causing irritation and redness. Several diseases and conditions can cause blepharitis."
burning urination,"Painful urination (dysuria) is discomfort or burning with urination, usually felt in the tube that carries urine out of your bladder (urethra) or the area surrounding your genitals (perineum)."
finger pain,Finger pain is pain in one or more fingers. Injuries and many medical conditions can cause finger pain.
flat affect,"A severe reduction in emotional expressiveness. People with depression and schizophrenia often show flat affect. A person with schizophrenia may not show the signs of normal emotion, perhaps may speak in a monotonous voice, have diminished facial expressions, and appear extremely apathetic."
blood on toilet tissue,"Hematochezia is defined as bright red blood seen in the toilet either inside of, or surrounding the stool. Hematochezia is typically presumed to come from the lower portion of the GI tract, and the initial steps of diagnosis include a DRE with FOBT, which if positive, will lead to a colonoscopy."
grooved tongue,"The term fissured tongue describes the finding of multiple small furrows or grooves on the dorsal (top) surface of the tongue. These fissures can be shallow or deep, single or multiple. Often there is a prominent fissure in the center of the tongue."
nail separation,"Onycholysis is the medical term for when your nail separates from the skin underneath it. Onycholysis is not uncommon, and it has several possible causes. This condition lasts for several months, because a fingernail or toenail won't reattach to its nail bed."
binge eating,uncontrolled compulsive eating especially as a symptom of bulimia or binge eating disorder
difficulty talking,"Dysphasia (also called aphasia) is an impairment of language. They often co-exist. Strictly speaking, the words anarthria and aphasia mean a total absence of ability to form speech or language but they are often used when dysarthria and dysphasia would be more correct."
loss of temperature sensation,Hypoesthesia is the medical term for partial or total loss of sensation in a part of your body. You may not feel: pain. temperature. vibration
impulsivity,"Impulsivity: Inclined to act on impulse rather than thought. People who are overly impulsive, seem unable to curb their immediate reactions or think before they act."
difficulty sleeping,"Insomnia includes trouble falling asleep or staying asleep. Episodes may come and go, last up to 3 weeks (be short-term), or be long-lasting (chronic). Hypersomnia is a condition in which people have excessive daytime sleepiness."
heavy menstrual bleeding,"Menorrhagia is the medical term for menstrual periods with abnormally heavy or prolonged bleeding. Although heavy menstrual bleeding is a common concern, most women don't experience blood loss severe enough to be defined as menorrhagia."
hemolytic anemia,"Hemolytic anemia is a disorder in which red blood cells are destroyed faster than they can be made. The destruction of red blood cells is called hemolysis. Red blood cells carry oxygen to all parts of your body. If you have a lower than normal amount of red blood cells, you have anemia."
food cravings,"In studies of food cravings, chocolate and chocolate confectioneries almost always top the list of foods people say they crave; this craving is referred to as chocoholism. The craving of non-food items as food is called pica."
poor concentration,"The hallmark condition associated with difficulty concentrating is attention-deficit hyperactivity disorder (ADHD), a condition that has been increasingly diagnosed in both children an adults in recent years."
late menstrual period,"Amenorrhea (uh-men-o-REE-uh) is the absence of menstruation — one or more missed menstrual periods. Women who have missed at least three menstrual periods in a row have amenorrhea, as do girls who haven't begun menstruation by age 15."
bulge,"A bulging disc is a condition in which the nucleus (inner portion) of a spinal disc remains contained within the annulus fibrosus (outer portion), unlike a herniated disc in which the nucleus leaks out of the disc."
red gums,"Gingivitis is a common and mild form of gum disease (periodontal disease) that causes irritation, redness and swelling (inflammation) of your gingiva, the part of your gum around the base of your teeth."
eye floaters,"Eye floaters, also known as myodesopsias or muscae volitantes (in Latin, flying flies) are an ocular trouble consisting in the emergence in the visual field of black or white-coloured dots, spots, threads or cobwebs of different shapes, that move with eye movements."
early morning waking,early morning waking
tiredness,"Fatigue is a term used to describe an overall feeling of tiredness or lack of energy. It isn't the same as simply feeling drowsy or sleepy. When you're fatigued, you have no motivation and no energy."
feeling faint,"Fainting, also called syncope (pronounced SIN-ko-pee), is a sudden, brief loss of consciousness and posture caused by decreased blood flow to the brain"
joint locking,"In medicine, joint locking is a symptom of pathology in a joint. It is a complaint by a person when they are unable to fully flex or fully extend a joint. This term is also used to describe the mechanism of lower limb joints held in full extension without much muscular effort when a person is standing."
gum sores,"Stomatitis, a general term for an inflamed and sore mouth, can disrupt a person's ability to eat, talk, and sleep. Stomatitis can occur anywhere in the mouth, including the inside of the cheeks, gums, tongue, lips, and palate."
nighttime wheezing,"An increase in asthmatic symptoms during sleep. Nocturnal asthma may be caused by a variety of conditions, including gastroesophageal reflux, allergens in the bedroom, circadian variations in circulating hormone levels, or inadequate doses of antiasthmatic medications at night."
splinter hemorrhage,Splinter hemorrhages (or haemorrhages) are tiny blood clots that tend to run vertically under the nails.
loss of smell,"If you lose your sense of smell, you'll miss more than a variety of scents. Without a good sense of smell, you may find that food tastes bland and it's hard to tell different foods apart. Loss of smell can be partial (hyposmia) or complete (anosmia), and may be temporary or permanent, depending on the cause."
fear of gaining weight,"Obesophobia, also called pocrescophobia, is the fear of gaining weight. It's most prevalent in adolescent women, but men can have it too. Like all phobias, obesophobia is a type of anxiety disorder. Phobias involve an intense and irrational fear of a specific object, place, or situation"
belching,"Belching or burping (eructation) is the voluntary or involuntary, sometimes noisy release of air from the stomach or esophagus through the mouth."
furry tongue,"Hairy tongue (lingua villosa) refers to a marked accumulation of keratin on the filiform papillae on the dorsal surface of the tongue, giving a hair-like appearance. Black tongue (lingua nigra) refers to a black discoloration of the tongue, which may or may not be associated with hairy tongue."
involuntary head turning,"Cervical dystonia, also called spasmodic torticollis, is a painful condition in which your neck muscles contract involuntarily, causing your head to twist or turn to one side. Cervical dystonia can also cause your head to uncontrollably tilt forward or backward."
skin irritation,"Dermatitis: Inflammation of the skin, either due to an inherent skin defect, direct contact with an irritating substance, or to an allergic reaction. Symptoms of dermatitis include redness, itching, and in some cases blistering."
damaged teeth enamel,"Enamel hypoplasia is a defect of the enamel that only occurs while teeth are still developing. Still, it can affect both baby teeth and permanent teeth. The condition results in thin enamel, which makes your teeth vulnerable to dental decay."
post nasal drip,"Post-nasal drip (PND), also known as upper airway cough syndrome (UACS), occurs when excessive mucus is produced by the nasal mucosa. The excess mucus accumulates in the back of the nose, and eventually in the throat once it drips down the back of the throat."
distorted body image,"Distorted body image (also called negative body image) refers to an unrealistic view of how someone sees their body. Like eating disorders, it is seen most commonly in women, but many men also suffer from the disorder."
spots on throat,"Strep throat, or streptococcal pharyngitis, is a contagious disease. The bacteria Streptococcus pyogenes causes it. It's most common in infants and children, but it frequently occurs in teenagers and adults as well. It causes white streaks or spots in the throat."
tearing in one eye,"Watering eye, epiphora or tearing, is a condition in which there is an overflow of tears onto the face, often without a clear explanation. There is insufficient tear film drainage from the eye or eyes."
frightening dreams,"Nightmare disorder is referred to by doctors as a parasomnia — a type of sleep disorder that involves undesirable experiences that occur while you're falling asleep, during sleep or when you're waking up. Nightmares usually occur during the stage of sleep known as rapid eye movement (REM)."
hoarse voice,"Otolaryngology. A hoarse voice, also known as dysphonia or hoarseness, is when the voice involuntarily sounds breathy, raspy, or strained, or is softer in volume or lower in pitch. A hoarse voice, can be associated with a feeling of unease or scratchiness in the throat."
pounding heart,"Heart palpitations (pal-pih-TAY-shuns) are feelings of having a fast-beating, fluttering or pounding heart. Stress, exercise, medication or, rarely, a medical condition can trigger them. Although heart palpitations can be worrisome, they're usually harmless."
inability to exercise,"Exercise intolerance is a condition of inability or decreased ability to perform physical exercise at the normally expected level or duration for people of that age, size, sex, and muscle mass. It also includes experiences of unusually severe post-exercise pain, fatigue, nausea, vomiting or other negative effects."
poor hygiene,"Poor hygiene can be a sign of self-neglect, which is the inability or unwillingness to attend to one's personal needs. Poor hygiene often accompanies certain mental or emotional disorders, including severe depression and psychotic disorders. Dementia is another common cause of poor hygiene."
increased passing gas,"Flatulence is very common. We all accumulate gas in our digestive system. Most people pass gas about 10 times a day. If you pass wind more frequently than this on a regular basis, you could have excessive flatulence, which has a number of causes."
feel no air,"Few sensations are as frightening as not being able to get enough air. Shortness of breath — known medically as dyspnea — is often described as an intense tightening in the chest, air hunger, difficulty breathing, breathlessness or a feeling of suffocation."
delusions,"Delusional disorder, previously called paranoid disorder, is a type of serious mental illness — called a “psychosis”— in which a person cannot tell what is real from what is imagined. The main feature of this disorder is the presence of delusions, which are unshakable beliefs in something untrue."
joint deformity,"Joint deformities are possible in any joint of the body, though they are most commonly found in the hands, as the hands contain a large amount of joints that are in near-constant use. Deformities in your joints can have many causes. Two of the most common causes are rheumatoid arthritis and osteoarthritis."
emotional detachment,Emotional detachment refers to the inability of a person to fully engage with feelings of their own or those of others
low testosterone,"Low testosterone (male hypogonadism) is a condition in which the testes (testicles, the male reproductive glands) do not produce enough testosterone (a male sex hormone)."
yellow skin,"Jaundice is a condition in which the skin, whites of the eyes and mucous membranes turn yellow because of a high level of bilirubin, a yellow-orange bile pigment."
swollen tonsils,"Tonsillitis is inflammation of the tonsils, two oval-shaped pads of tissue at the back of the throat — one tonsil on each side. Signs and symptoms of tonsillitis include swollen tonsils, sore throat, difficulty swallowing and tender lymph nodes on the sides of the neck."
joint redness,"Arthritis is a term often used to mean any disorder that affects joints. Symptoms generally include joint pain and stiffness. Other symptoms may include redness, warmth, swelling, and decreased range of motion of the affected joints."
loss of taste sensation,"Loss of taste is a common symptom of gastroesophageal reflux disease (GERD), salivary gland infection, sinusitis, poor dental hygiene, or even certain medicines. The medical term for a complete loss of taste is ageusia. A partial loss of taste is called dysgeusia."
high blood pressure,"Hypertension is the term used to describe high blood pressure. Untreated high blood pressure can lead to many medical problems. These include heart disease, stroke, kidney failure, eye problems, and other health issues. Blood pressure readings are given as two numbers."
swollen joints,"Arthritis is inflammation of one or more joints. When joints are inflamed they can develop stiffness, warmth, swelling, redness and pain. There are over 100 types of arthritis, including osteoarthritis, rheumatoid arthritis, ankylosing spondylitis, psoriatic arthritis, lupus, gout, and pseudogout."
drinking excessive fluids,"Specialty. Endocrinology, psychiatry. Polydipsia is excessive thirst or excess drinking. The word derives from the Greek ?????????? (poludípsios) ""very thirsty"", which is derived from ????? (polús, ""much, many"") + ???? (dípsa, ""thirst""). Polydipsia is a nonspecific symptom in various medical disorders."
brittle hair,"Trichorrhexis nodosa is a defect in the hair shaft characterized by thickening or weak points (nodes) that cause the hair to break off easily. This group of conditions contributes to the appearance of hair loss, lack of growth, and damaged-looking hair."
bleeding easily,"Hemophilia is perhaps the most well-known inherited bleeding disorder, although it is relatively rare. It affects mostly males. Many more people are affected by von Willebrand disease, the most common inherited bleeding disorder in America caused by clotting proteins."
jaundice,"Jaundice, also known as icterus, is a yellowish or greenish pigmentation of the skin and whites of the eyes due to high bilirubin levels."
ear ache,"Otalgia, earache. Examination of the ear canal and eardrum. Specialty. ENT surgery. Ear pain, also known as earache, is pain in the ear."
sore throat,"A sore throat is pain, scratchiness or irritation of the throat that often worsens when you swallow. The most common cause of a sore throat (pharyngitis) is a viral infection, such as a cold or the flu. A sore throat caused by a virus resolves on its own."
agitation,"Agitation is an unpleasant state of extreme arousal. An agitated person may feel stirred up, excited, tense, confused, or irritable."
constipation,Chronic constipation is infrequent bowel movements or difficult passage of stools that persists for several weeks or longer. Constipation is generally described as having fewer than three bowel movements a week.
chest pressure,"Some medical causes for chest tightness can stem from a muscle strain, asthma, ulcers, a rib fracture, pulmonary hypertension, and gastroesophageal reflux disease. Aside from a medical reason, chest tightness can be caused by an active stress response, also known as the “flight or fight” response."
overweight,"If your BMI is 18.5 to <25, it falls within the normal. If your BMI is 25.0 to <30, it falls within the overweight range. If your BMI is 30.0 or higher, it falls within the obese range."
numbness,"Numbness describes a loss of sensation or feeling in a part of your body. It's often accompanied by or combined with other changes in sensation, such as a pins-and-needles feeling or burning."
abdominal pain,"Abdominal pain is pain that occurs between the chest and pelvic regions. Abdominal pain can be crampy, achy, dull, intermittent or sharp. It's also called a stomachache. Inflammation or diseases that affect the organs in the abdomen can cause abdominal pain."
nausea,A feeling of sickness or discomfort in the stomach that may come with an urge to vomit. Nausea is a side effect of some types of cancer therapy.
back pain,"Orthopedics. Back pain, also known as backache, is pain felt in the back. The back is divided into neck pain (cervical), middle back pain (thoracic), lower back pain (lumbar) or coccydynia (tailbone or sacral pain) based on the segment affected. The lumbar area is the most common area affected."
vertigo,"Vertigo is a sensation of feeling off balance. If you have these dizzy spells, you might feel like you are spinning or that the world around you is spinning."
chill,"A feeling of cold with shivering or shaking and pallor, accompanied by an elevation of temperature in the interior of the body; usually a symptom of an infectious disease."
distress respiratory,"Respiratory distress syndrome, acute: Respiratory failure of sudden onset due to fluid in the lungs (pulmonary edema), following an abrupt increase in the permeability of the normal barrier between the capillaries in the lungs and the air sacs."
hoarseness,"Hoarseness is a symptom and not a disease. It is a general term that describes abnormal voice changes. When hoarse, the voice may sound breathy, raspy, strained, or there may be changes in volume (loudness) or pitch (how high or low the voice is)."
wheezing,Wheezing is a high-pitched whistling sound made while breathing. It's often associated with difficulty breathing. Wheezing may occur during breathing out (expiration) or breathing in (inspiration).
drowsiness,Drowsiness refers to feeling abnormally sleepy during the day. People who are drowsy may fall asleep in inappropriate situations or at inappropriate times.
labored breathing,"When you experience labored breathing, you can't breathe easily and may even struggle to breathe. Labored breathing can be alarming and cause you to feel tired or worn out. It can sometimes represent a medical emergency. Other names for labored breathing include: difficulty breathing."
fatigue,"Fatigue is a lack of energy and motivation. Drowsiness and apathy (a feeling of not caring about what happens) can be symptoms that go along with fatigue. Fatigue can be a normal and important response to physical activity, emotional stress, boredom, or lack of sleep"
fever,"Fever. CDC considers a person to have a fever when he or she has a measured temperature of 100.4° F (38° C) or greater, or feels warm to the touch, or gives a history of feeling feverish."
diarrhea,"Diarrhea is loose, watery stools three or more times a day. Diarrhea may be acute, persistent, or chronic: Acute diarrhea is a common problem that typically lasts 1 or 2 days and goes away on its own. Persistent diarrhea lasts longer than 2 weeks and less than 4 weeks."
dizziness,"Dizziness is a term used to describe a range of sensations, such as feeling faint, woozy, weak or unsteady. Dizziness that creates the false sense that you or your surroundings are spinning or moving is called vertigo. Dizziness is one of the more common reasons adults visit their doctors"
urinary urgency,"Urinary urgency: An immediate unstoppable urge to urinate, due to a sudden involuntary contraction of the muscular wall of the bladder."
shortness of breath,"Shortness of breath — known medically as dyspnea — is often described as an intense tightening in the chest, air hunger, difficulty breathing, breathlessness or a feeling of suffocation. Very strenuous exercise, extreme temperatures, obesity and higher altitude all can cause shortness of breath in a healthy person."
palpitation,"Heart palpitations (pal-pih-TAY-shuns) are feelings of having a fast-beating, fluttering or pounding heart. Stress, exercise, medication or, rarely, a medical condition can trigger them. Although heart palpitations can be worrisome, they're usually harmless."
aggression,"Aggressive: In oncology, quickly growing, tending to spread rapidly. As, for example, an aggressive tumor."
ankle pain,"Ankle pain refers to any type of pain or discomfort in your ankles. This pain could be caused by an injury, like a sprain, or by a medical condition, like arthritis."
arm pain,"Arm pain is defined as discomfort or pain experienced anywhere throughout the arm. It can include pain in the wrist, elbow, and shoulder. Arm pain can occur due to a variety of causes. The most common causes are injury or overuse."
bleeding,"Bleeding is the loss of blood. It can be external, or outside the body, like when you get a cut or wound. It can also be internal, or inside the body, like when you have an injury to an internal organ."
blood in urine,Hematuria is the medical term for red blood cells in the urine. Red blood cells in the urine can come from the kidney (where urine is made) or anywhere in the urinary tract
blurred vision,"Blurred vision: Lack of sharpness of vision with, as a result, the inability to see fine detail. Blurred vision can occur when a person who wears corrective lens is without them. Blurred vision can also be an important clue to eye disease."
bruising,"Bruise: Injury of the soft tissues that results in breakage of the local capillaries and leakage of red blood cells. In the skin it can be seen as a reddish-purple discoloration that does not blanch when pressed. When a bruise fades, it becomes green and brown, as the body metabolizes the blood cells in the skin."
confusion,"Confusion is the inability to think as clearly or quickly as you normally do. You may feel disoriented and have difficulty paying attention, remembering, and making decisions."
phlegm,"Phlegm (/?fl?m/; Ancient Greek: ??????, phlégma, ""inflammation"", ""humour caused by heat"") is mucus produced by the respiratory system, excluding that produced by the nasal passages. It often refers to respiratory mucus expelled by coughing, otherwise known as sputum."
dark urine,"Dark urine is most commonly due to dehydration. However, it may be an indicator that excess, unusual, or potentially dangerous waste products are circulating in the body. For example, dark brown urine may indicate liver disease due to the presence of bile in the urine."
disorientation,"Disorientation is an altered mental state. A person who's disoriented may not know their location and identity, or the time and date. It's often accompanied with other symptoms such as: confusion, or being unable to think with your normal level of clarity. delirium, or being confused and having disrupted attention."
double vision,"Double vision, also called diplopia, causes a person to see two images of a single object. There are two types of double vision: monocular and binocular. Monocular diplopia is double vision in only one eye."
drooping eyelid,Eyelid drooping is excess sagging of the upper eyelid. The edge of the upper eyelid may be lower than it should be (ptosis) or there may be excess baggy skin in the upper eyelid (dermatochalasis). Eyelid drooping is often a combination of both conditions. The problem is also called ptosis.
dry mouth,"Dry mouth, or xerostomia (zeer-o-STOE-me-uh), refers to a condition in which the salivary glands in your mouth don't make enough saliva to keep your mouth wet. Dry mouth is often due to the side effect of certain medications or aging issues or as a result of radiation therapy for cancer."
dry skin,Dry skin occurs when your skin loses too much water and oil. Dry skin is common and can affect anyone at any age. The medical term for dry skin is xerosis.
elbow pain,"Elbow pain is most often the result of tendinitis, which can affect the inner or outer elbow. Treatment includes ice, rest, and medication for inflammation. Elbow pain has many other causes including arthritis and bursitis."
skin rash,"An area of the skin that has changes in texture or color and may look inflamed or irritated. The skin may be red, warm, scaly, bumpy, dry, itchy, swollen, or painful."
fainting,Syncope (pronounced “sin ko pea”) is the medical term for fainting or passing out. It is caused by a temporary drop in the amount of blood that flows to the brain.
fast heart rate,"Tachycardia refers to a heart rate that's too fast. How that's defined may depend on your age and physical condition. Generally speaking, for adults, a heart rate of more than 100 beats per minute (BPM) is considered too fast. View an animation of tachycardia."
foot pain,"Foot pain is the sensation of discomfort in the foot arising from disorders or injury to any of the structures in the foot including bones, nerves, muscles, blood vessels, or connective tissue."
groin pain,"Groin pain is pain that occurs where the inner, upper thigh and lower abdomen meet."
hand pain,"Hand pain is one feature of joint inflammation (arthritis) that may be felt in the hand. Rheumatoid arthritis and osteoarthritis are the two most common types of arthritis in the hand. Repetitive motion injuries, including carpal tunnel syndrome, can cause pain in the wrist and hand."
hip pain,Hip pain involves any pain in or around the hip joint. You may not feel pain from your hip directly over the hip area. You may feel it in your groin or pain in your thigh or knee.
insomnia,"Insomnia is a common sleep disorder that can make it hard to fall asleep, hard to stay asleep, or cause you to wake up too early and not be able to get back to sleep. You may still feel tired when you wake up."
knee pain,"Knee pain is pain in or around the knee. The knee joint consists of an articulation between four bones: the femur, tibia, fibula and patella. There are four compartments to the knee. These are the medial and lateral tibiofemoral compartments, the patellofemoral compartment and the superior tibiofibular joint."
leg pain,"Causes of Leg Pain Video. Characterized by aches, numbness, tingling, burning, or weakness, leg pain quite often is not caused by a problem in the leg or foot, but rather by a condition in the lower back."
loss of appetite,"To use the sharing features on this page, please enable JavaScript. A decreased appetite is when your desire to eat is reduced. The medical term for a loss of appetite is anorexia."
low blood pressure,"Some experts define low blood pressure as readings lower than 90 mm Hg systolic or 60 mm Hg diastolic. If either number is below that, your pressure is lower than normal. A sudden fall in blood pressure can be dangerous."
nasal congestion,"Nasal congestion or ""stuffy nose"" occurs when nasal and adjacent tissues and blood vessels become swollen with excess fluid, causing a ""stuffy"" plugged feeling. Nasal congestion may or may not include a nasal discharge or ""runny nose."""
neck pain,"Neck pain is the sensation of discomfort in the neck area. Neck pain can result from disorders of any of the structures in the neck, including the cervical vertebrae and intervertebral discs, nerves, muscles, blood vessels, esophagus, larynx, trachea, lymphatic organs, thyroid gland, or parathyroid glands."
noisy breathing,"noisy breathing, is caused by a narrowed or partially blocked airway, the passage that connects the mouth to the lungs. This results in wheezing or whistling sounds that may be high-pitched and audible when a person inhales, exhales, or both."
pain during urination,"Painful urination (dysuria) is discomfort or burning with urination, usually felt in the tube that carries urine out of your bladder (urethra) or the area surrounding your genitals (perineum)."
pelvic pain,"Pelvic pain is pain in the lowest part of your abdomen and pelvis. In women, pelvic pain might refer to symptoms arising from the reproductive, urinary or digestive systems, or from musculoskeletal sources."
rectal pain,Rectal pain is pain or discomfort in the lower portion of the gastrointestinal tract. The term is often used interchangeably with pain in the anus or anal pain. It is a fairly common problem and can result from conditions such as hemorrhoids or anal fissures.
runny nose,"The terms ""rhinorrhea"" and ""rhinitis"" are often used to refer to a runny nose. Rhinorrhea actually refers to a thin, mostly clear nasal discharge. Rhinitis refers to the inflammation of nasal tissues. Rhinitis often results in a runny nose."
shoulder pain,Shoulder pain: Pain in the shoulder due to an injury or disease. The design of the shoulder joint is such that it sacrifices stability for mobility.
slurred speech,"Slurred speech is a symptom characterized by poor pronunciation of words, mumbling, or a change in speed or rhythm during talking. The medical term for slurred speech is dysarthria."
stomach cramps,Stomach cramps: A nonmedical term most often used to describe pain in the mid- or upper abdominal area.
swollen knee," A swollen knee occurs when excess fluid accumulates in or around your knee joint. Your doctor might refer to this condition as an effusion (ih-FYU-zhen) in your knee joint. Some people call this condition ""water on the knee."""
urinary retention,"Urinary retention is a condition in which you cannot empty all the urine from your bladder. Urinary retention can be acute—a sudden inability to urinate, or chronic—a gradual inability to completely empty the bladder of urine."
vaginal discharge,"Vaginal discharge is a combination of fluid and cells continuously shed through your vagina. Normal vaginal discharge helps keep vaginal tissues healthy, provide lubrication and protect against infection and irritation."
vomiting blood,"Vomiting blood (hematemesis) refers to significant amounts of blood in your vomit. Small streaks or flecks of blood in material you spit up may come from the teeth, mouth or throat and isn't usually considered vomiting blood."
wrist pain,"Wrist pain is any discomfort in the wrist. It's often caused by carpal tunnel syndrome. Other common causes include wrist injury, arthritis, and gout."
cloudy urine,"urine with a cloudy appearance, usually due to pus, crystals, bacteria, blood, or free fat globules."
easy bruising,Easy bruising is a common complaint in medical practice for both primary care clinicians and hematologists. Easy bruising can be defined as bruising without a history of trauma or bruising after minor trauma that would not have caused bruising in the past.
mouth sores,"A mouth ulcer is an ulcer that occurs on the mucous membrane of the oral cavity. Mouth ulcers are very common, occurring in association with many diseases and by many different mechanisms, but usually there is no serious underlying cause."
vaginal dryness,"Vaginal dryness may be a problem for women at any age, although it occurs more frequently in older women, particularly after menopause."
dry eyes,Dry eyes can occur when you're unable to produce enough water (aqueous fluid). The medical term for this condition is keratoconjunctivitis sicca (ker-uh-toe-kun-junk-tih-VY-tis SIK-uh). Common causes of decreased tear production include: Aging.
loss of speech,"Dysphasia (also called aphasia) is an impairment of language. They often co-exist. Strictly speaking, the words anarthria and aphasia mean a total absence of ability to form speech or language but they are often used when dysarthria and dysphasia would be more correct."
cold feet,"Cold feet are one of the body's normal reactions to colder temperatures. When the body enters a colder area, blood vessels in the extremities, such as the hands and feet, will constrict. This reduces the blood flow to these areas, which also reduces the amount of heat the body loses."
decreased appetite,"To use the sharing features on this page, please enable JavaScript. A decreased appetite is when your desire to eat is reduced. The medical term for a loss of appetite is anorexia"
swollen lymph nodes,"The term ""swollen glands"" refers to enlargement of one or more lymph nodes. The medical name for swollen lymph nodes is lymphadenopathy. In a child, a node is considered enlarged if it is more than 1 centimeter (0.4 inch) wide."
peeling skin,"Desquamation, commonly called skin peeling, is the shedding of the outermost membrane or layer of a tissue, such as the skin. The term is from Latin desquamare 'to scrape the scales off a fish'."
tingling,"Tingling (paresthesia) is an unusual sensation most commonly felt in your hands, feet, arms and legs. Tingling is often associated with numbness, or a decrease in the ability to feel or sense pressure or texture."
involuntary movements,"An involuntary movement occurs when you move your body in an uncontrollable and unintended way. These movements can be anything from quick, jerking tics to longer tremors and seizures."
spasticity,"The degree of spasticity varies from mild muscle stiffness to severe, painful, ... Spasticity is a condition in which there is an abnormal increase in muscle tone or stiffness of muscle, which might interfere with movement, speech, or be associated with discomfort or pain."
 shaking chills,Chills (shivering) may occur at the start of an infection. They are most often associated with a fever. Chills are caused by rapid muscle contraction and relaxation. They are the body's way of producing heat when it feels cold. Chills often predict the coming of a fever or an increase in the body's core temperature.
bitter almond odor on breath,"Cyanide sometimes is described as having a “bitter almond” smell, but it does not always give off an odor, and not everyone can detect this odor. Cyanide is also known by the military designations AC (for hydrogen cyanide) and CK (for cyanogen chloride)."
rectal incontinence,"Fecal incontinence is the inability to control bowel movements, causing stool (feces) to leak unexpectedly from the rectum. Also called bowel incontinence, fecal incontinence ranges from an occasional leakage of stool while passing gas to a complete loss of bowel control."
bleeding gums,"The medical terminology for bleeding gums is gingivitis. Gingivitis is a common and mild form of gum disease (periodontal disease.) It causes irritation, redness and swelling (inflammation) of your gingiva, the part of the gum around the tooth base"
swollen tongue,"A swollen tongue is a type of angioedema, a buildup of fluid in the lower layer of the skin or mucous membranes in various parts of the body. In medical terms, tongue swelling is known as glossitis and usually is accompanied by redness and other symptoms depending on the cause."
impaired social skills,"impaired social interaction a nursing diagnosis accepted by the North American Nursing Diagnosis Association, defined as a state in which an individual participates in either an insufficient or an excessive quantity of social exchange, or with an ineffective quality of social exchange."
frequent bowel movements,Frequent bowel movements is a condition in which a person defecates (eliminates waste from the bowel) more often than usual. There is no “normal” number of bowel movements. Many healthcare providers agree that healthy bowel movement frequency can range from three times a day to three times a week
pale skin,"Paleness, also known as pale complexion or pallor, is an unusual lightness of skin color compared with your normal complexion. Paleness may be caused by reduced blood flow and oxygen or by a decreased number of red blood cells. It can occur all over your skin or appear more localized."
mood swings,Mood swings refer to rapid changes in mood. The term may refer to minor daily mood changes or to significant mood changes as seen with mood disorders such as major depression or bipolar depression. Mood swings can also occur in women who suffer from premenstrual syndrome or premenstrual dysphoric disorder.
excessive sweating,"Diaphoresis is the medical term used to describe excessive, abnormal sweating in relation to your environment and activity level. It tends to affect your entire body rather than a part of your body. This condition is also sometimes called secondary hyperhidrosis."
change in bowel habits,"This includes how often you have a bowel movement, your control over when you have a bowel movement, and the bowel movement's consistency and color. Alterations in any aspect of these habits over the course of a day represent a change in bowel habits."
burning mouth,"Burning Mouth Syndrome (BMS) is a painful, complex condition often described as a burning, scalding, or tingling feeling in the mouth that may occur every day for months or longer. Dry mouth or an altered taste in the mouth may accompany the pain. BMS is most commonly found in adults over the age of 60."
morning stiffness,"Morning stiffness is a characteristic feature of inflammatory arthritidies, where it has been defined as ""slowness or difficulty moving the joints when getting out of bed or after staying in one position too long, which involves both sides of the body and gets better with movement"""
bad breath,"Halitosis: An unpleasant odor from the mouth, commonly referred to as bad breath. Halitosis can be caused by the consumption of certain foods, poor oral hygiene, alcohol or tobacco use, dry mouth, or by certain chronic medical conditions."
binge drinking,Binge drinking is defined as a pattern of drinking that brings a person's blood alcohol concentration (BAC) to 0.08 g/dl or above. This typically happens when men consume 5 or more drinks or women consume 4 or more drinks in about 2 hours. 4. Most people who binge drink do not have a severe alcohol use disorder.
difficulty urinating,"Difficulty urinating can be a result of anatomical abnormalities within the genitourinary tract. In men, enlargement of the prostate gland, due most commonly to benign prostatic hyperplasia and less commonly to prostate cancer, can cause difficulty urinating. In both men and women, difficulty urinating can result from neurological or muscular conditions that affect function of the bladder. When it becomes difficult to urinate, other symptoms such as dribbling (leaking or mild incontinence) and a weak urine stream may also be present. Certain medications can also cause problems with urination. "
stiff neck,"Neck stiffness, stiff neck and nuchal rigidity are terms often used interchangeably to describe the medical condition when one experiences discomfort or pain when trying to turn, move, or flex the neck. Possible causes include muscle strain or sprain, cervical spine disorders, meningitis, and subarachnoid hemorrhage."
cloudy urine with strong odor,"If the urine smells particularly foul, a person may have an infection. The cloudy look typically comes from discharge of either pus or blood into the urinary tract. It could also be a buildup of white blood cells as the body tries to eliminate invading bacteria."
weight gain,"Weight gain is an increase in body weight. This can involve an increase in muscle mass, fat deposits, excess fluids such as water or other factors."
hot flashes,"A hot flash is the sudden feeling of warmth in the upper body, which is usually most intense over the face, neck and chest. Your skin might redden, as if you're blushing. A hot flash can also cause sweating. If you lose too much body heat, you might feel chilled afterward."
cold hands,"cold hands could mean you have a problem with the nerves or blood circulation or a problem with tissue damage in your hands or fingers. If you are outside in extreme cold weather and you have cold hands, you should watch for warning signs of frostbite."
aphasia,"Aphasia is a condition that robs you of the ability to communicate. It can affect your ability to speak, write and understand language, both verbal and written. Aphasia typically occurs suddenly after a stroke or a head injury."
